question,answer
健康险理赔的流程是怎样的,"1、理赔报案。客户出险后，应该及时报案。理赔报案电话：4008833663。
2、理赔受理。受益人按条款或协议约定的要求提交理赔材料，对符合受理要求的，保险公司予以受理。
3、理赔审核。保险公司专业理赔人员对案件进行审核并做出理赔决定。
4、通知给付。理赔审核结束后，保险公司将及时将理赔结论通知受益人，通过转帐方式给付保险金。"
如何报案,"根据条款约定：保险事故发生后，您＊应在条款约定的时间内通知保险公司，否则，依据条款约定，您应承担由于延迟通知致使保险公司增加的勘察，检验等项费用。但因不可抗力导致的延迟除外。我公司接受您或您的代理人（委托人）通过以下方式报案：
1、电话报案：全国客户服务热线９５５１１　24小时为您提供热诚的服务 （推荐度***）
2、上门报案：您可以到我们的各网点的客户服务柜面，或委托您的代理人到业务员服务柜面办理理赔报案（推荐度*）
3、邮件报案：您也可以以邮件形式发送您的报案信息到各分公司两核管理部理赔室
4、其他方式：您也可以采取如传真、EMAIL等方式进行理赔报案。"
我应该选择哪些医院就诊,为了您的疾病能得到最佳的诊治，同时也为了保障您应得的保险利益，您需要前往本公司条款约定的定点医院进行诊治。如果您因特殊原因不能就诊于定点医院，需要及时通知我公司，并得到我公司理赔部门的同意。否则将有可能给您的索赔带来不便和损失。
办理理赔手续时，我需要携带哪些申请材料,"理赔材料：1.保险合同，2.理赔申请书，3.被保险人身份证明和出险人身份证明，4.门诊病历和处方，5.出院小结及诊断证明，6.医疗费用原始收据（*涉及第三方给付的需提供第三方给付证明原件），
7.住院费用明细清单，8.延长住院申请表（*条款注明住院超过15天需要申请的），9.重大疾病诊断证明书，10. 意外事故证明（如：被保人驾驶机动车辆发生交通意外需提供有效驾驶证和行驶证，有交警处理的需要提供相关责任认定材料）
11.残疾鉴定报告（需要与理赔部联系），12.授权委托书，13.被委托人身份证明，14受益人存折复印件，15.受益人身份证明、户籍证明、与被保险人的关系证明；，16.非定点医院申请，17.公安部门或本公司认可的医疗机构出具的被保险人死亡证明、殡殓证明、事故者户籍注销证明，如：死亡医学证明书、火化证、户口注销等，18.与身故性质相关的证明材料：意外、工伤事故证明，医院死亡记录及相关病历资料，司法公安机关出具尸检报告书等

被保人或受益人亲自办理：
Q3-1被保险人本人意外门诊申请理赔需要哪些材料？
A：１．２．３．４．６．１０．１４
Q3-2被保险人本人申请意外住院/意外住院津贴/意外手术津贴理赔需要哪些材料？
A：1．２．３．４．５．６．７．１０．１４．１６*
Ｑ3-3被保险人本人意外伤残申请理赔金给付或豁免保费需要哪些材料？
A：１．２．３．４．５．１０．１１．１４
Q3-4被保险人配偶或子女意外出险申请材料有无特殊
A：被保人配偶或子女出险除了上诉材料外，还需要提供关系证明：结婚证明，出生证明，户口簿，公证书等。要求是合法证明与被保人的关系，没有歧义。
Q3-5被保险人疾病住院申请住院医疗类理赔需要哪些材料？
A：１．２．３．４．５．６．７．１４．１６*
Q3-6被保险人本人疾病住院申请一般住院津贴类理赔需要哪些材料？
A：１．２．３．４．５．６．８*．１４．１６*
Ｑ3-7被保险人本人疾病住院申请癌症住院津贴类理赔需要哪些材料？
A：１．２．３．４．５．６．８*．１４．１６*
Ｑ3-8被保险人本人疾病住院申请一般手术津贴类理赔需要哪些材料？
A：１．２．３．４．５．６．７．１４．１６*
Q3-9 因重大疾病申请保险金给付，豁免保费及提前给付的需要哪些材料？
A：１．２．３．４．５．９．１４
Q3-10 因疾病致残申请豁免保费的理赔需要哪些材料？
A：１．２．３．４．５．１１．１４
Q3-11身故理赔申请，受益人应该提供那些理赔材料？
A：１．２．４．１４．１５．１７．１８
所有代办件需要提供１２．１３

所有境外出险，提供的资料须经事故发生地公证部门公证并经我国驻该国（或地区）领事馆确认；

16* 当且仅当就诊于非定点医院时必须提供

关于理赔申请材料的重要提示：
１．一切理赔相关内容均以我们与您所签署的保险合同为准，请您根据所投保的保险险种对照上述问题寻找对应答案。
２．以上材料为进行理赔申请的基本材料，由于保险事故的具体情况不同及各地区差异，可能在办理理赔申请时，仍需提供一些其他辅助资料，如仍需其他材料，理赔部门会及时与您取得联系。
３．如委托他人代办，授权委托书必须是受益人亲笔签名的，且需注明授权范围，您也需校验双方身份证明无误。
４．条款未约定收取原件的材料，我们在验证无误留取清晰复印件后，您可以提出申请取走原件，如果复印件不清晰，我们有责任保留材料原件直到于得出正确的理赔结论，理赔结束后您方能提出申请取回材料原件。"
理赔时效,"一般案件：10个工作日内结案。
需进一步调查、核实的案件：原则上60日内结案。
特别说明：根据《保险法》第二十六条规定，保险人自收到赔偿或者给付保险金的请求和有关证明、资料之日起六十日内，对其赔偿或者给付保险金的数额不能确定的，应当根据已有证明和资料可以确定的最低数额先予支付；保险人最终确定赔偿或者给付保险金的数额后，应当支付相应的差额。"
我可以选择哪些续期交费方式,"一、银行转账
二、银行实时代收
三、公司柜面现金、支票交费
四、公司柜面刷卡交费
五、网上、电话和手机交费"
我已经按时存款了，为什么还会收到公司的失效通知书,"没有转帐是不是公司的责任？
客户按时存款只是我们成功转帐的一个条件，还有一些条件也得同时满足，才能保证续期保费的正常交纳：
(1)务必在存款前核对客户供转帐的活期结算存折，确认帐号与公司寄发的 “通知书 ” 上的帐号记录相一致；
(2)客户在转帐日前存款后，存折上的金额应比其应缴保费多一元钱以上（注：如果当地银行对于存折最低限额另有规定的，则要符合当地银行的规定）；
(3)当您的保单费用发生变化（增加某个附加险、附加医疗险年龄跳档、职业加费等）时，如果客户还是参照以往年度的保费来存入存折，那么也可能会因为保费不足而使银行转帐失败；
(4)目前大多数机构对于银行转帐的保单并不是每日划帐，如果客户将钱存进银行时，已错过了此张保单的最后的划款日，那么即使客户存进保费时保单仍在宽限期内，也会导致转帐的不成功而使保单失效。所以我们的通知书上都会注明请客户在应交日前存款。
最后，在法律上客户既签订了保险合同，同样也要承担交费的义务，转帐是公司方便交费的一种形式，所以为了保障您的权利，请按上述提示及时交纳续期保费。"
公司既然从我的帐号中扣除了当期保费，是不是应该寄一份缴费凭证给我,"为何会经常收不到公司的缴费凭证（转帐收据）？
首先，非常感谢您按时交费。一般续期转帐成功后，公司会在半个月内按您所留缴费地址寄发缴费凭证（转帐收据），但有时由于以下原因，您可能会收不到：
(1)目前我国邮件的寄达率还不太高，据有关数据统计，寄达成功率只有 70%—80% 左右，所以寄给您的单据有可能在邮寄过程中遗失了；
(2)您的地址或邮编有可能不准确甚至不正确，这将会直接导致邮件的不能寄达。
其次，即使您没有收到公司寄发的单据，这也丝毫不会影响到您以后的相关权益：因为公司内部有交费情况的详细的记录，而且您也可以持存折到相应的转帐银行或邮局柜面打印查询，转帐成功后的存折上会有转帐记录，完全可以证明已交费。
最后，如果您确实需要公司寄发的单据，可拨打公司客户服务电话 95511 与我们确认一下缴费地址，准确无误后，我们给您再补寄一张缴费单据。"
我往年的对帐单没有收到，是否可以通过95511补发,"95511只受理最近一期交费对帐单的补发。因为您只要收到最近一期的交费对帐单，就可以说明其往年的保费公司都收到了。由于保费交纳具有连续性，如果您某一年的保费未交，那么下一年度的保费，公司将不能正常扣缴，您也就不能收到最近一期的对帐单。
客户在办理理赔，或生存领取等手续时，公司要求客户提供的是最一期的交费凭据，而不需要提供往年的交费凭据，就像应聘时，招聘单位只需验证应聘者的最高学历证书一样，而最近一期的交费凭证就犹如这最高学历证书。所以，您可以完全放心，只要按保单合同规定按期正常交纳保费，即使没有往年的交费凭据，也不会影响其保险利益。"
我的保费为什么和去年不一样,"请您检查您的保单看是否有以下情况：
A 是否中途新增过短期险
B 是否投保了住院安心、住院医疗险
C 职业有无变更
如果存在以上情况，保费变化的相应原因如下：
A 如果中途新增了短期险，保单的合计保费是会增加的
B 短期医疗险的保费会根据被保人的年龄进行调整
C 如您投保的是意外险，职业变更后，保费也会有增减"
我的帐号改变了，对保单的转帐交费是否有影响,"如果您更换了存折，需要重新到本公司办理转账授权手续（即帐号变更），账号变更成功后，我们会通过您的新账号进行转账扣款。如果您在本公司投保多个保单，均使用此账号进行转帐交费，则需要对这些保单全部进行账号变更。
另外，还需提醒您，如果进行账号变更时，您的保单已接近交费宽限期末，请先在公司柜面交完保费再做变更，以避免错过本公司的扣款时间，造成保单失效。"
保单宽限期指的是什么,"保单应交日后六十天为宽限期，在此期间保单不会失效，客户可以继续缴费。本公司在宽限期最后一天的次日凌晨五点左右对保单做失效处理（如遇宽限期最后一日为节假日的则顺延）。所以客户一般在此之前将保费交进公司均能保证保单的有效。
对于万能寿险保单价值不足以扣除保障成本的，自当月结算日的次日起六十日内为宽限期"
交费方式为月交的保单，在应交日期后60天内未交费，保单是否仍有效,否。
我能用其他人的存折划扣保费吗,投保人、被保险人、与被保险险人直系亲属（配偶、父母、子女）都可用来划扣保费，与被保人直系亲属需提供相关关系证明（户口本、结婚证、出生证明）
我的保单（99费用、99安心）已经到期交费，而且银行的余额足够，为什么转不了帐,"1）如果您的保单是交费有效的状态，则说明保单处于可以交费的状态，转不了帐的原因是：您存钱的时间是在银行转帐日之后，所以来不及转帐，等下个转帐日再行转帐即可。如果您的保单已经赶不上转帐的时间，那么需要交现金才不会导致保单失效。
2）如果保单是“ 交清 ”状态，也没有申请过理赔或保全项目的变更，则是因为续保函未回销。客户将续保函拿到客服中心回销则可。如果您未收到续保函，可以联系业务员或者直接到客服中心补打。"
我不同意续保核保的除外责任的约定，想申请取消除外责任再续保，可以吗,只有提供了足以证明被保人的健康情况的医疗证明，公司才会受理，否则只能按照已有的核保决定续保。
我搬家了，应该对保单做什么处理,在您的保单的保险期限内，如果您的联系地址发生变动，您可以尽快通过95511、平安网站或我们公司的客服柜面进行地址变更操作。但如果您的地址不是同城变动的话，您需要到我们公司的客服柜面办理保单迁移手续。
我的保单丢了，能否再补一份,如果您是保单的投保人，您可以带上您的身份证前往我们公司的客服柜面办理保单补发手续。我们将酌情收取一定的工本费并为您开具收据。
保费应该怎么交,如果您的保单不是一次性交清的，您可以选择的交费方式有年交、半年交、季交和月交。我公司为了方便客户交纳续期保费，还提供多种收费方式，如银行转账收费、银行柜台代收保费、您自己到公司柜面交费，或者是网上、电话交费等方式。您在交费期间内，可以根据自身的方便选择变更交费方式。
我的保单能否转让给别人,如果您是保单的投保人，在保单的保险期限内，经过被保险人书面同意，您有权将保单的投保人变更为被保险人本人或对被保险人具有保险利益的人（根据保险法第五十三条规定，除被保险人本人外，对被保险人具有保险利益的人还包括配偶、子女、父母、及与被保险人有抚养、赡养或者扶养关系的家庭其他成员、近亲属和经过被保险人同意的其他人）， 由新投保人继续履行缴纳续期保费或其他相关义务，并同时拥有保单投保人的一切权利。
犹豫期退保是什么意思,犹豫期就是在您收到保单后给您一段对条款的再了解和对自己的经济能力的再考虑的时间（ 10 天以内），可以说是保险公司给您的权益，这时如果您觉得条款不适合自己或有更好的选择，您可以选择退出，保险公司根据条款约定退还您所交的保费，而不会再收取任何退保费用，对您来说是不受损失的，这就是犹豫期退保。这也是我们对自己产品充分信任的表现。就像您在商场里买东西，商场实行在一段时间内包退的规定一样。
保险公司的分红和银行存款的利息有什么不同,保险公司的分红产品除了享受分红，还可以得到保险合同条款约定的保险保障利益。银行存款的利息以存款本金乘以利率得到。保单的红利是保险公司将其分红保险业务实际经营产生的盈余，按一定比例向保单持有人分配的部分。如实际投保人群的死亡率比假设的低，或者实际投资收益高于假设的收益，这些差异都是分红保险可分配盈余的来源。因此保单保费和红利并不是简单的本金和利息的关系。
什么是保单的现金价值,投保人每期交纳的保费扣除保障成本、营业费用、佣金等之后的累积值，就形成了现金价值。
为什么我交纳了几千元的保险费，现在退保只退我这么少呢,按照保险合同条款约定，如果要退保的话，就是按照保单的现金价值来退的。之所以要按照现金价值退保，是因为从公司和您签订合同开始，公司就要按合同要求为您提供保障，而您也应当按照合同要求按时交费，如果您现在退保，公司需要扣除相关的费用主要包括业务员佣金、保障成本及营业费用，这些都是通过精算得出来的，并且经保监会审批同意的，是有依据的，不是保险公司自己随意订的。
我又没有享受到你们的保障为什么还要扣除这么多费用呢,当您购买了我们的保险开始，一直到合同到期为止，我们公司始终为您按合同约定提供了风险保障。保险合同约定了双方的权利和义务，您履行了交费的义务，相应的也获得了我司提供的保障，这一点，是受法律保护的。在您平平安安的同时，我们始终肩负着承接您的风险、为您提供保障的义务，所以我们要收取一定的费用来为您提供相应的保障。
"家居保险常见问题
如果我搬了新家，或者重新做了房屋装修，或者购买了更多新的家庭物品，这对我买的保险有影响么",房屋、装修、家庭财物都是您投保的家居财产，这些财产项目的变化都需要反映在保单保额的变化上，也就是说，需要改动保险单，使您新的财产价值与保险单保额相符合。为此，您需要办理保单批改手续：填写批改申请书，连同保单一并提交保险公司，保险公司视情况告知您需补收或退还的保费数目，双方协商一致后，即由保险公司签发批单，作为保单的补充部分附后，批改后的保单则开始生效。
如果我将房屋卖掉，失去房屋的所有权，我该如何处理家财保险单呢,"如果您是被保险人，您可以办理退保手续。
您进行退保时，需持被保险人本人保险单正本、身份证，至公司办理退保。
第一步：退保申请。写一份申请书，说明退保的原因和退保开始生效时间，被保险人签字或盖章后交给保险公司；
第二步：出具退保批单。保险公司根据退保申请书出具一份退保批单，上面写明退保生效时间及保单未到期所应退的保险费；
第三步：原保险原始单证回收。保险公司回收原家庭财产保险单正本 / 保险卡等保险凭证；
第四步：领取应退保费。凭退保批单和本人身份证明，被保险人到保险公司的财务部门领取应退保费。"
如果房屋、财产发生损失了怎么办,"如果不幸发生保险事故，请您：立即通知保险公司；采取措施尽量防止或减少损失。
对于您为抢救保险财产而花费的合理、必要的费用，保险公司会在保险财产损失以外，另行计算赔偿给您，但总的赔偿金额不会超过保单的保险金额。"
"车辆保险常见问题
我的车辆出险后怎么办，向保险公司报案是否有时效的要求",请您立即向公安部门报警，并及时拨打平安产险服务热线 95512 报案，要求出险后 48 小时内向保险公司报案。
如我的车辆不能行驶了怎么办,您可以拨打95512，平安可以为您联系救援。
向95512 报案时需要提供什么内容,告知 95512 保单号码或车牌号码或被保险人名称，平安即可受理您的报案（为方便起见，建议您开车时随身携带行驶证及保险卡）。
如果我在外地发生意外事故怎么办,平安率先在国内推出了全国通赔服务，无论您的车辆在国内任何地方出了事故，都可以到出险地就近的平安机构办理索赔。
我如何办理索赔手续,平安会为您提供帮助，您只需按照平安服务人员提示操作即可，如有不清楚，请拨打 95512 电话。
我的车辆过户了，保单需要更改吗,如果您保单上的内容发生了变化，如新车上牌、车辆过户、改变使用性质等等 ，都需要及时到平安办理保单批改手续，平安会为您出具批单，记载变更的内容，作为保单的补充部分 。
我的车辆没有及时检验，出险是否赔付,根据保险合同的规定，保险车辆未按时检验属保险责任免除范围。故请您切记按时办理车辆检验手续，切不可延误，以免您的权益得不到保障。
我能把以往小事故攒到一起报案吗,您不能这样做，因为每次事故责任和损失程度均不一样，且车辆发生保险责任范围内的损失后，未经必要修理继续使用，致使损失扩大的部分保险公司不负责赔偿。
常见的哪些违章行为不能获得保险赔偿,"1 、无有效驾驶证的；
2 、驾驶车辆与驾证准驾车型不符的；
3 、驾驶员饮酒、吸毒、被药物麻醉后驾车发生事故；
4 、保险车辆肇事逃逸；
5 、非营业性的单位和私有车辆用做营业用途等等，具体以保险合同为准。"
车辆出险后，我能自行修理，再向保险公司索赔吗,这不行。保险合同已有明确规定，出险后 48 小时内应向保险公司报案，保险公司会派人及时查勘现场，确定损失，不会耽误您修车和索赔，您可依据我公司损失确认结果尽快修车，这样就不会给理赔造成不必要的麻烦。
治疗慢性肠胃炎产生的医疗费用可以赔偿吗？,不可以。被保险人患有慢性肠胃疾病的，保险公司不承担赔偿责任。
医疗费用可以得到全额赔偿吗？,急性肠胃炎医疗责任每次事故扣除200元绝对免赔后按80%赔偿比例赔付。
已经买了学校的学平险，还有必要买平安少儿综合意外险么？,学校推荐的意外险一般保额低、责任单一，不能像平安少儿综合意外险全面涵盖重疾、监护人等责任，孩子头疼脑热时也无电话医学咨询服务，强烈建议选购。
投保人必须为父母吗？,投保人必须是被保险人的父母或实际监护人。
意外医疗如何赔付？,被保险人因遭受意外伤害事故，在国内二级及二级以上公立医院进行治疗，对于所支出的、符合社会基本医疗保险支付范围的费用，超过人民币50元的部分，按90%的比例给付医疗保险金。
甲乙类传染病身故责任保障的疾病在哪里可以看到具体种类？,您可在少儿意外险产品介绍页面-保障计划-查看责任详情-甲乙类传染病身故责任描述中查看具体可以承保的29种疾病类型。
新型冠状病毒肺炎是否属于甲乙类传染病身故责任保障范围？,根据《中华人民共和国国家卫生健康委员会公告》（2020年第1号）的规定，新型冠状病毒感染的肺炎纳入《中华人民共和国传染病防治法》规定的乙类传染病，并采取甲类传染病的预防、控制措施，因此该疾病属于甲乙类传染病身故责任的保障范围。
保费的支付方式，以及保险单证、保费发票等凭证的送达方式是怎样的？,保费支付方式支持微信、支付宝、银行卡等支付方式。投保成功后，在首页-查保单入口，可下载保险单证及申请开具电子发票。
