product,answers
平安百万交通出行意外,"['平安百万交通出行意外', '本产品男女皆可投保，属于健康险，投保年龄要求为16-80岁，最低1.0元即可投保', '被保险人年龄多少？', '16-80周岁']"
店家宝-个体商户2.0,"['店家宝-个体商户2.0', '本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低365.0元即可投保']"
吃货无忧险,"['吃货无忧险', '本产品男女皆可投保，属于意外险，投保年龄要求为6-65周岁，最低5.0元即可投保，主要承保责任为：救护车费用（77）（600元）、急性肠胃炎医疗费用（8000元）', '该产品保障范围有哪些？', '该产品保障被保险人因患急性肠胃炎而支出的医疗费用以及必要的救护车费用。', '治疗慢性肠胃炎产生的医疗费用可以赔偿吗？', '不可以。被保险人患有慢性肠胃疾病的，保险公司不承担赔偿责任。', '医疗费用可以得到全额赔偿吗？', '急性肠胃炎医疗责任每次事故扣除200元绝对免赔后按80%赔偿比例赔付。']"
吃货无忧险,"['吃货无忧险', '本产品男女皆可投保，属于意外险，投保年龄要求为6-65周岁，最低5.0元即可投保，主要承保责任为：救护车费用（77）（600元）、急性肠胃炎医疗费用（8000元）', '该产品保障范围有哪些？', '该产品保障被保险人因患急性肠胃炎而支出的医疗费用以及必要的救护车费用。', '治疗慢性肠胃炎产生的医疗费用可以赔偿吗？', '不可以。被保险人患有慢性肠胃疾病的，保险公司不承担赔偿责任。', '医疗费用可以得到全额赔偿吗？', '急性肠胃炎医疗责任每次事故扣除200元绝对免赔后按80%赔偿比例赔付。']"
平安守护·少儿意外险(互联网版),"['平安守护·少儿意外险(互联网版)', '本产品男女皆可投保，属于意外险，投保年龄要求为28天-17周岁，最低98.0元即可投保，主要承保责任为：意外伤害身故及残疾（10万）、意外伤害医疗（1万）、意外伤害住院津贴（4500元）、预防接种意外伤害身故及残疾（10万）、甲乙类传染病身故（10万）、意外住院医疗垫付（尊享）', '这款产品适合哪些人群投保？', '本产品针对1-18周岁以内的儿童、青少年。孩子自我保护能力弱，容易发生磕碰摔伤、动物咬伤等各种意外，一份综合意外险必不可少哦。', '已经买了学校的学平险，还有必要买平安少儿综合意外险么？', '学校推荐的意外险一般保额低、责任单一，不能像平安少儿综合意外险全面涵盖重疾、监护人等责任，孩子头疼脑热时也无电话医学咨询服务，强烈建议选购。', '投保人必须为父母吗？', '投保人必须是被保险人的父母或实际监护人。', '意外医疗如何赔付？', '被保险人因遭受意外伤害事故，在国内二级及二级以上公立医院进行治疗，对于所支出的、符合社会基本医疗保险支付范围的费用，超过人民币50元的部分，按90%的比例给付医疗保险金。', '甲乙类传染病身故责任保障的疾病在哪里可以看到具体种类？', '您可在少儿意外险产品介绍页面-保障计划-查看责任详情-甲乙类传染病身故责任描述中查看具体可以承保的29种疾病类型。', '新型冠状病毒肺炎是否属于甲乙类传染病身故责任保障范围？', '根据《中华人民共和国国家卫生健康委员会公告》（2020年第1号）的规定，新型冠状病毒感染的肺炎纳入《中华人民共和国传染病防治法》规定的乙类传染病，并采取甲类传染病的预防、控制措施，因此该疾病属于甲乙类传染病身故责任的保障范围。', '保费的支付方式，以及保险单证、保费发票等凭证的送达方式是怎样的？', '保费支付方式支持微信、支付宝、银行卡等支付方式。投保成功后，在首页-查保单入口，可下载保险单证及申请开具电子发票。']"
平安车主意外保障,"['平安车主意外保障', '本产品男女皆可投保，属于意外险，投保年龄要求为18-65周岁，最低180.0元即可投保，主要承保责任为：意外伤害身故和残疾（10万）、意外伤害医疗（5000元）、意外住院津贴（50元/天）', '本保险的保障对象包含哪些？', '保障对象包括保单载明的被保险人本人（18-65周岁）。', '客户有社保，是否社保赔完后再用本保险赔付？', '本保险保障社保范围内医疗费用，如果客户从社保已获得部分赔偿，本保险承担剩余部分。', '本保险的住院津贴责任有哪些限制？', '保险期间内，被保险人遭受意外伤害事故，并自事故发生之日起一百八十日内因该事故在释义医院住院治疗，保险人就被保险人的合理住院天数，按照50元/天的误工津贴日额给付误工津贴保险金。被保险人因意外伤害事故一次住院治疗的，保险人给付误工津贴保险金天数以六十天为限；被保险人因同一原因间歇性住院，前次出院与后次入院日期间隔未超过九十天（含九十天）的，视为一次住院治疗。 被保险人无论一次或多次遭受意外伤害事故进行住院治疗，保险人均按上述规定分别给付误工津贴保险金，但对被保险人累计给付天数以九十天为限。']"
平安行境内一年期出行险（互联网版）,"['平安行境内一年期出行险（互联网版）', '本产品男女皆可投保，属于意外险，投保年龄要求为0-80周岁，最低66.0元即可投保，主要承保责任为：意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、意外伤害身故和残疾（100万元）、意外伤害医疗（5万元）、第三者责任（20万元）、家庭财产保障（5万元）、境内紧急救援服务（20万元）、甲乙类传染病身故（20万元）', '1.为什么要记录常住地？', 'A：意外、个人责任、医疗只承担在常住地市级城市之外的保险事故，家财只承保常住地的日常居住房屋，因此需要逐个被保险人记录常住地。', '2.单次出行不超过20天，理赔时该如何证明？', 'A：发生保险事故时，需要提交从常住地出发的出行证明，如机票、登机牌、火车票、酒店住宿发票、高速公路过路费等证明资料。', '3.如果保险期间因为工作变动更换常住地，该怎么办？', 'A:若发生保险事故，理赔时需提交工作变动、搬家及其他能证明变更常住地的证明资料。', '保费的支付方式，以及保险单证、保费发票等凭证的送达方式是怎样的？', '保费支付方式支持微信、支付宝、银行卡等支付方式。投保成功后，在首页-查保单入口，可下载保险单证及申请开具电子发票。']"
平安E生平安·孝心保(尊享款),"['平安E生平安·孝心保(尊享款)', '本产品男女皆可投保，属于健康险，投保年龄要求为60-80周岁，最低2327.0元即可投保，主要承保责任为：质子重离子医疗保险责任（100万）、恶性肿瘤医疗责任（200万）、体检服务（1次）、就医绿通（1次）、住院垫付（不限次）', '本产品是否保证续保？', '本产品遵循不保证续保条款，保险期间届满，投保人需要重新向保险人申请投保本产品，经保险人同意，交纳保险费，获得新的保险合同。 若发生下列情形之一的，本产品不再接受续保： （一）本产品统一停售； （二）被保险人超过投保人与保险人在保险合同中约定的投保年龄范围； （三）被保险人身故； （四）投保人对于保险人就投保人或者被保险人的有关情况提出的询问未履行如实告知义务，足以影响保险人决定是否同意承保的； （五）被保险人不符合投保条件或存在欺诈情形的。', '升级的一般医疗服务续保时会延续吗？', '延续，每年续保后赠送体检，续年体检结果不影响一般医疗保障；', '一般医疗重疾和恶性肿瘤医疗的0免赔额是否共享？', '恶性肿瘤医疗为0免赔，升级到一般医疗及重疾医疗后，其中的重疾医疗也是0免赔。', '体检结果有问题怎么办？', '体检结果仅会影响是否升级一般医疗保障。如果体检结果有问题，我们无法为客户提供升级保障。但体检结果不会影响恶性肿瘤保障，除非发现客户存在未如实告知的情况。', '首次投保放弃体检，次年续保是否可以通过体检进行升级？', '如果首年放弃，次年续保不可再通过体检升级。', '如何区分哪些体检指标会影响到客户升级一般医疗责任？', '核保结论不是单纯对一个或几个生化指标进行评价，而是对身体情况进行综合评估得出核保结论，如实进行健康告知，如期进行体检，可以极大避免客户与保险公司的风险（部分老年人血压值放宽至150、95，糖化血红蛋白值放宽至7%）', '所在城市没有体检机构怎么办', '承保30天后可电话联系4006-898-761，我公司的供应商将进行个案处理，安排客户至符合标准体检机构进行体检。']"
平安家财宝保障计划,"['平安家财宝保障计划', '本产品男女皆可投保，属于财产险，投保年龄要求为0-80周岁，最低100.0元即可投保，主要承保责任为：平安家庭财（50万 ）、平安家庭财产保障（10万 ）、室内财产保障（5万 ）、居家责任险（- ）、盗抢损失（- ）、水暖管爆裂损失（- ）、家政人员失职财产损失（- ）、临时住宿费用补偿（- ）、平安家庭财（ 50万 ）、平安家庭财产保障（ 10万 ）、室内财产保障（ 5万 ）、居家责任险（ 3万 ）、盗抢损失（ 1万 ）、水暖管爆裂损失（ 1万 ）、家政人员失职财产损失（ - ）、临时住宿费用补偿（ - ）、平安家庭财（ 100万 ）、平安家庭财产保障（20万 ）、室内财产保障（10万 ）、居家责任险（10万 ）、盗抢损失（5万 ）、水暖管爆裂损失（3万 ）、家政人员失职财产损失（- ）、临时住宿费用补偿（- ）、平安家庭财（ 300万 ）、平安家庭财产保障（ 50万 ）、室内财产保障（ 20万 ）、居家责任险（ 20万 ）、盗抢损失（ 10万 ）、水暖管爆裂损失（ 5万 ）、家政人员失职财产损失（ - ）、临时住宿费用补偿（ - ）', '房产证写的是我父母的名字，房子是自己和家人在住，是否可以买', '可以投保，在此情况下，建议被保险人写父母的名字。', '我住楼下，楼上邻居家水（暖）管爆裂，渗水破坏了家里的地板家', '在水暖管爆裂损失范围内，除A款方案外，均可理赔。', '如果家里被偷了，电器什么的都要提供发票。如果发票都没了怎么办', '如果没有发票，理赔时可以提供能证明被盗物品确实存在的材料，例如：照片、维修单据、购买小票（收据）等。', '安装在房屋外的空调器和太阳能热水器等家用电器的室外设备如果', '可以理赔，是在家庭财产保险承保范围内。', '安装在房屋外的空调器和太阳能热水器等家用电器的室外设备如果', '在盗抢损失承保范围内，除A款方案外，均可理赔。', '安装在房屋外的空调器和太阳能热水器等家用电器的室外设备发生意外怎么办', '在居家责任承保范围内，除A款方案外，均可理赔。', '家中保姆在打扫卫生时不慎将茶几上的花瓶打碎，是否可以理赔？', '在家政人员失职财产损失承保范围内，购买E款方案可以理赔。', '临时住宿费用保障的是什么场景的损失？', '发生《平安家庭财产保险条款》中的保险责任事故导致房屋无法居住时，如火灾、爆炸、台风、暴雨、外界物体倒塌等，因此产生的临时住宿费用，购买E款方案可以理赔。', '新保是否有等待期？续保是否有等待期？', '新保客户保险起期T+6天。通过续保短信、业务员转发出去的续保链接、自动续保扣款等续保通道进来的续保客户，投保后保险期限自动延续，无等待期。', '保费的支付方式，以及保险单证、保费发票等凭证的送达方式是怎样的？', '保费支付方式支持微信、支付宝、银行卡等支付方式。投保成功后，在首页-查保单入口，可下载保险单证及申请开具电子发票。']"
平安爱宠医保,"['平安爱宠医保', '本产品男女皆可投保，属于财产险，投保年龄要求为3个月-7周岁，最低477.0元即可投保，主要承保责任为：基础医疗责任（4200元（单次免赔额2百））、手术治疗责任（7000元（单次免赔额1千））、服务保障（1次疫苗 1次体检\n专属宠物病历\n）、基础医疗责任（4200元）、手术治疗责任（7000元）、服务保障（1次疫苗 1次体检\n专属宠物病历\n）', '赔偿从什么时候开始？', '本产品等待期为30天。即在保险合同起期后30天出现的常规疾病及意外受伤，属于本产品的赔偿范围。保险合同起期前及等待期期间出险的症状都不在赔偿范围内。', '我可以同时投保多个套餐吗？或者同一套餐多买几份？', '一只宠物只能投保一份保险，多投无效。', '投保了爱宠医保后，保险期间内可以变更套餐吗？', '保险期间内您不可变更套餐，除非您将原产品退保，再购买新的套餐，但此类情况不属于续保，不适用于续保无等待期的约定，即您的宠物医疗保障将从保单约定的等待期后重新开始。', '我的宠物超过保险的承保年龄后，还能续保吗？', '保险的承保年龄适用于首次投保的情况，续保不受年龄限制。但若您的宠物未持续续保，那么您再次投保时，我们将默认您为首次投保用户，若此时您的宠物已经超过了8岁，那么您将失去投保资格。', '保费的支付方式，以及保险单证、保费发票等凭证的送达方式是怎样的？', '保费支付方式支持微信、支付宝、银行卡等支付方式。投保成功后，在首页-查保单入口，可下载保险单证及申请开具电子发票。']"
平安免费重疾保障(互联网版),"['平安免费重疾保障(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为8-50周岁，主要承保责任为：重大疾病保险金（3000元）', '这款产品保障范围是什么？', '本产品对人一生中可能罹患的30种重大疾病提供保障。自保险期间开始且等待期（30天）满之日起，至保险期间终止之日止，被保险人经符合本保险合同释义约定的医院初次确诊罹患本保险合同释义规定的重大疾病的（无论一种或多种），保险人按重大疾病保险金额给付重大疾病保险金，本保险合同终止。被保险人因意外伤害导致其患重大疾病的，无等待期。', '在哪些医院治疗，可以获得理赔？', '医院须为我国卫生部门评审确定的二级或二级以上的公立医院，但不包括主要作为诊所、康复、护理、休养、静养、戒酒、戒毒等或类似的医疗机构。该医院必须具有符合国家有关医院管理规则设置标准的医疗设备，且全天二十四小时有合格医师及护士驻院提供医疗及护理服务。', '什么是等待期，等待期从何时算起？', '自保险合同生效日起30日内为等待期。被保险人在保险期限开始前或等待期内罹患的疾病，我们不承担给付保险金的责任。', '什么样的人群可以投保这个产品？', '您可以为8-50周岁身体健康，且符合健康告知提及状况的本人、配偶、子女和父母投保。当被保险人非本人时，本人确认已告知被保险人或其监护人本产品的相关内容，并已征得其同意投保本产品。', '不同年龄人群购买这款产品，保额是否有限制？', '本产品保额统一为3000元。', '这款产品有犹豫期吗？', '本产品无犹豫期。本产品为赠险，不需要支付保险费，退保不退费。']"
