question,answer
药诊保自动结束问诊的原因,"您好，药诊保自动结束问诊的原因如下：

1、为了给您提供高效优质的诊疗服务，医生会全程在线等待您的回复，若您5分钟内一直未响应，系统会自动判定为结束问诊，并关闭对话框；
2、药诊保每次问诊时效为30分钟，您可以在规定时间内向医生详细描述病情。医生会根据您描述的具体病情给出诊疗建议。

★温馨提醒：
如您有需要，可再次发起线上问诊。"
为什么查不到保单？,您好，保单无法查询的处理方式：1、信息同步延迟，刚投保成功，请等待10分钟再试；2、请点击 实名认证 核实是否已认证，若未认证，请在线实名认证后查询；3、车险保单请先绑定车辆后再尝试查询；4、团体（企业）名义购买，请下载 企业宝 进行查询；5、家人保单，需添加家人信息且人脸识别授权后查询。★温馨提醒：1、若您是支付成功后增加的险种，可点击 变更查询 ?查看；2、如实名认证后仍查询不到保单，请核实认证人是否为投保人。
话费充值不到账,您好，话费充值一般是2小时内到账，若超时未到到账商家会自动退款。月初月末充值高峰期，到账时效会有些延迟，如果超过24小时仍未到账且未退款，建议您直接拨打合作商家客服电话 ，杭州润升：0571-87022641或4006618993，湖北宽通：4001561880，让商家帮您加急处理一下，感谢您的支持。
平安好车主年检代办时效,年检代办一般会在收到您车辆证件后2-3个工作日完成年检，具体事宜可预约后与服务商核实。
未回电,
转人工,
如何查询年检电子标志,"您好，您可通过APP底部→享服务→ 年检代办 →年检服务→电子年检标，即可查询年检电子标贴。

★温馨提醒：
需在APP上申请过年检代办服务的车辆才可在线查看电子年检标贴，皖牌、贵牌除外。"
优惠券使用网点查询,您好，您可通过APP首页→ 用卡券 选择您的卡券后，点开卡券详情，即可通过查看适用网点查询到可用的网点。
车险保单过户流程,"您好，若保险期间内车辆过户，需办理保单批改手续，可通过APP首页→查保单→ 信息修改 →选择险别（商业险、交强险）→过户，根据提示操作进行修改，按照提示操作。

★温馨提醒：
1、修改为单位的，APP暂不支持办理，可点击 门店预约 咨询办理；
2、被保险人与车主不一致的，需车主进行人脸识别；
3、更换投保人的，需原投保人进行人脸识别；
4、行驶证发证日期，请参照行驶证下方的“发证日期”录入。"
支付方式有哪些,
携号转网充值退款问题,您好，目前暂不支持携号转网充值，携号转网号码充值成功后将自动退款，若未退款，可拨打合作商家客服电话咨询，杭州润升：0571-87022641或4006618993，湖北宽通：4001561880。
交强险是什么？,交强险的全称是“机动车交通事故责任强制保险”，是由保险公司对被保险机动车发生道路交通事故造成受害人（不包括本车人员和被保险人）的人身伤亡、财产损失，在责任限额内予以赔偿的强制性责任保险。
什么是车辆安全检测,车辆安全检测的内容主要包含10项：发动机、底盘系统、车内环境条件、轮胎、综合安全、玻璃安全、变速器、汽车电器系统、蓄电池、转向系统，其中基础版包含6项目，升级版包含9项，高级版包含全部10项。
交强险标志的获取方式,您好，车险购买后，我司会把交强险标志配送给您。若未收到，说明您的城市已实行电子凭证。如有需要，可通过 电子保单 →选择交强险→标志→标志下载，自行打印。
平安保险类客服热线,您好，平安24小时统一客服热线：95511； 车险咨询投保热线：4008000000，欢迎来电咨询。
身份验证失败的处理方式,"您好，身份验证失败的处理方式如下：

1、身份证中含有小写字母“x”，需将字母切换为大写字母“X”；
2、输入内容中含有空格，需删除空格；
3、输入的身份信息与手机号运营商的实名信息需保持一致；
4、若您绑定了多辆车，可能是您验证时选的车辆与保单上的身份信息不一致，请您重新切换车辆，进行认证。

★温馨提醒：
证件号为购买保险时所留下的证件号，一般证件类型为身份证，其他证件类型为护照、军官证、台胞证，需根据您投保时提供的证件填写。"
不同渠道投保的区别,"您好，不同的投保方式若险种和保额相同，价格和理赔服务也是相同的。

★温馨提醒：
投保方式不同，活动可能不同，具体以投保时专属客户经理介绍为准。"
福利延期说明,您好，福利卡券以及礼包都是需在有效期内使用，逾期无法使用及延期。您可在下方问题描述中填写：卡券名称、车牌及手机号，提交专员核实处理。
三者方（对方）车辆全责如何索赔,"如果在车险事故中对方全责，及不涉及有责方伤亡，可直接联系有责方保险公司索赔；如果有责方有伤亡，无责方也需要向自己的保险公司报案，因交强险条款中规定：无责方的交强险需无责赔付有责方人伤费用最高1800元，死亡伤残费用最高1.8万。

★温馨提醒：
涉及无责方合理的施救费用也可得到赔付。
"
电话骚扰,安安不太明白您的意思，要不您换个问法再试试，或许安安就能明白啦！
年检代办的流程,您好，平安为满足一定条件的客户提供年检代办服务，您可在APP首页→ 年检代办 进行预约。
非事故道路救援是否可以提前预约,您好，平安非事故道路救援暂不支持预约服务，该服务全天24小时可以随时申请，系统会根据实时情况安排就近救援人员提供服务。
2020综改机动车新旧条款的变化,"您好，车险综合费率改革后，机动车条款前后变化如下：

1、之前不能赔，现在可以赔的情形有：
（1）车辆未年检或年检不合格；
（2）政府征用；
（3）地震及次生灾害。
2、扣留期间之前可以赔，现在不赔的情形是：
有债务纠纷引起的企业间、个人间的扣留行为，均是责任免除，可进行拒赔。"
近期活动查询,您好，您可进入 活动中心 查询。 ★温馨提醒：活动会不定期调整，以活动中心页面为准。
如何修改手机号,
订单提交不了怎么办,您好，若订单提交不了，您可提供截屏等信息提交专员核实处理哦。
用户问题类型为手机号码,
如何为其他车辆投保,"您好，您可通过APP首页→ 买车险 →进入页面后，向左滑动，更换需投保车辆。若车辆未在APP绑定，点击“+”按页面提示操作即可。

★温馨提醒：
全国正陆续实行车险实名制缴费，这些城市：投保人=付款人=车主。 其他城市车险保单上的被保险人和行驶证车主可以为不同的人，详情可投保时咨询您的专属客户经理。"
如何投保车险,"您好，您可以通过APP首页→ 买车险 ，选择需要投保的车辆或添加车辆信息，即可报价投保。

★温馨提醒：
若您需要为自己名下其他车辆投保，需要在进入报价前，先切换/添加投保车辆哦~"
卡券的兑换流程,"您好，您可通过平安好车主底部→我的→ 我的卡券 兑换。

★温馨提醒：
1、卡券需在有效期内使用，请仔细查看【使用须知】；
2、卡券详情页显示“请出示以上券码给网点工作人员”，需到合作网点提供二维码即可。"
安壹通加油退款后为何卡券未收到,您好，安壹通订单退款时，若使用的是单张优惠券即会原路退回；若使用的是礼包内的优惠券，则不会退回。
商城订单一直未收到货,您好，若商城订单超过配送时效未收到，可点击订单详情页“联系商家”按钮，让商家帮您加急处理下，感谢您的支持。
油卡有效期查询,非常抱歉，目前无法获取到您的油卡信息，若您是通过平安好车主活动获取的油卡，您可在活动页面查询油卡的使用期限。其它油卡您需要联系专属客户经理核实，由专属客户经理为您查询。
APP功能无法使用,您好，因系统升级维护，导致APP部分功能暂时无法使用，我们正在紧急修复，给您带来不便深感抱歉。
兑换专区无法兑换商品的原因,您好，建议您先检查您账户内积分数量、有效期，如果积分不够或已过期，会导致商品兑换不成功。
操作页面异常,
能否单独购买交强险,您好，您可通过APP首页→ 买车险 →修改方案，商业险是否投保选择“否”，即可单独投保交强险。
处理时效,
下载平安好医生APP,您好，您可以进入各大软件下载中心，在其搜索栏输入“平安好医生”即可下载。
